day,time_slot,start_time,end_time,type,subject,teacher,auditorium,subgroup,group_name,weeks
Понедельник,9:45:00 - 11:20:00,9:45,11:20,Лекционные занятия,Физика,Тураева Т. Л.,327/1,1,иб-251,
Понедельник,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Математический анализ,Батаронов И. Л.,220/1,1,иб-251,
Понедельник,13:30:00 - 15:05:00,13:30,15:05,Практические занятия,Математический анализ,Батаронов И. Л.,220/1,1,иб-251,
Понедельник,15:15:00 - 16:50:00,15:15,16:50,Практические занятия,Математический анализ,Батаронов И. Л.,218/1,1,иб-251,
Вторник,8:00:00 - 9:35:00,8:00,9:35,Практические занятия,Иностранный язык,Макарова А. А.,111/2,3,иб-251,
Вторник,,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,,1,иб-251,
Вторник,,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,,2,иб-251,
Вторник,,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,111/2,3,иб-251,
Вторник,9:45:00 - 11:20:00,9:45,11:20,Практические занятия,Иностранный язык,Макарова А. А.,111/2,3,иб-251,
Вторник,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Алгебра и геометрия,Дорохова О. А.,410/5,1,иб-251,
Вторник,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Введение в специальность (спецглавы),Остапенко А. Г.,308/1,1,иб-251,
Вторник,15:15:00 - 16:50:00,15:15,16:50,Практические занятия,Иностранный язык,(Баженова М. Т.,408/5,1,иб-251,"25,29,33,37"
Вторник,15:15:00 - 16:50:00,15:15,16:50,Практические занятия,Иностранный язык,(Баженова М. Т.,408/5,2,иб-251,"27,31,35,39"
Вторник,17:00:00 - 18:35:00,17:00,18:35,Практические занятия,Иностранный язык,(Баженова М. Т.,408/5,1,иб-251,"25,29,33,37"
Вторник,17:00:00 - 18:35:00,17:00,18:35,Практические занятия,Иностранный язык,(Баженова М. Т.,408/5,2,иб-251,"27,31,35,39"
Четверг,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Языки программирования,Москалева Е. А.,404/5,2,иб-251,
Четверг,11:30:00 - 13:05:00,11:30,13:05,Лабораторные занятия,Языки программирования,Москалева Е. А.,404/5,2,иб-251,
Четверг,13:30:00 - 15:05:00,13:30,15:05,Практические занятия,Алгебра и геометрия,Дорохова О. А.,218/1,1,иб-251,
Четверг,15:15:00 - 16:50:00,15:15,16:50,Практические занятия,История  России,Дорош А. А.,220/1,1,иб-251,
Пятница,8:00:00 - 9:35:00,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,,1,иб-251,
Пятница,8:00:00 - 9:35:00,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,,2,иб-251,
Пятница,8:00:00 - 9:35:00,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,,3,иб-251,
Пятница,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Психология социального взаимодействия,Слепцова А. О.,308/1,1,иб-251,
Пятница,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Языки программирования,Москалева Е. А.,406/5,1,иб-251,
Пятница,,14:00,15:35,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,406/5,1,иб-251,
Пятница,,14:00,15:35,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,406/5,2,иб-251,
Пятница,,14:00,15:35,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,406/5,3,иб-251,
Пятница,15:15:00 - 16:50:00,15:15,16:50,Практические занятия,Физика,Тураева Т. Л.,322/1,1,иб-251,
Суббота,9:45:00 - 11:20:00,9:45,11:20,Практические занятия,Основы информационной безопасности,Чопоров О. Н.,101/1,1,иб-251,
Суббота,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,История  России,Дорош А. А.,308/1,1,иб-251,
Суббота,13:30:00 - 15:05:00,13:30,15:05,Лабораторные занятия,Языки программирования,Москалева Е. А.,404/5,1,иб-251,
Суббота,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Языки программирования,Москалева Е. А.,404/5,1,иб-251,
