day,time_slot,start_time,end_time,type,subject,teacher,auditorium,subgroup,group_name,weeks
Понедельник,13:30:00 - 15:05:00 ,13:30,15:05,Лекционные занятия,Методическое обеспечение анализа защищенности информационных систем и сетей,Дешина А. Е.,408/5,1,иб-211,
Понедельник,15:15:00 - 16:50:00 ,15:15,16:50,Практические занятия,Методическое обеспечение анализа защищенности информационных систем и сетей,Дешина А. Е.,407/5,1,иб-211,
Понедельник,17:00:00 - 18:35:00 ,17:00,18:35,Лекционные занятия,Программное обеспечение анализа защищенности информационных систем и сетей,Паринова Л. В.,407/5,1,иб-211,
Понедельник,18:40:00 - 20:05:00 ,18:40,20:05,Практические занятия,Обеспечение безопасности автоматизированных систем на основе методов искусственного интеллекта,Покудин Д. С.,407/5,1,иб-211,
Среда,17:00:00 - 18:35:00 ,17:00,18:35,Лабораторные занятия,Компьютерные преступления в информационных системах и сетях,Покудин Д. С.,402/5,1,иб-211,
Среда,17:00:00 - 18:35:00 ,17:00,18:35,Лабораторные занятия,Разработка и эксплуатация автоматизированных систем в защищенном исполнении,Ярмонов М. И.,403/5,2,иб-211,
Среда,18:40:00 - 20:05:00 ,18:40,20:05,Лабораторные занятия,Компьютерные преступления в информационных системах и сетях,Покудин Д. С.,402/5,1,иб-211,
Среда,18:40:00 - 20:05:00 ,18:40,20:05,Лабораторные занятия,Разработка и эксплуатация автоматизированных систем в защищенном исполнении,Ярмонов М. И.,403/5,2,иб-211,
Четверг,9:45:00 - 11:20:00 ,9:45,11:20,Лекционные занятия,Управление информационной безопасностью,Бейнар И. А.,410/5,1,иб-211,
Четверг,11:30:00 - 13:05:00 ,11:30,13:05,Практические занятия,Управление информационной безопасностью,Бейнар И. А.,410/5,1,иб-211,
Четверг,13:30:00 - 15:05:00 ,13:30,15:05,Лабораторные занятия,Программное обеспечение анализа защищенности информационных систем и сетей,Шварцкопф Е. А.,403/5,1,иб-211,
Четверг,15:15:00 - 16:50:00 ,15:15,16:50,Лабораторные занятия,Программное обеспечение анализа защищенности информационных систем и сетей,Шварцкопф Е. А.,403/5,1,иб-211,
Пятница,15:15:00 - 16:50:00 ,15:15,16:50,Практические занятия,Управление информационной безопасностью,Бейнар И. А.,308/1,1,иб-211,
Пятница,17:00:00 - 18:35:00 ,17:00,18:35,Лабораторные занятия,Разработка и эксплуатация автоматизированных систем в защищенном исполнении,Ярмонов М. И.,403/5,1,иб-211,
Пятница,17:00:00 - 18:35:00 ,17:00,18:35,Лабораторные занятия,Компьютерные преступления в информационных системах и сетях,Покудин Д. С.,201/5,2,иб-211,
Пятница,18:40:00 - 20:05:00 ,18:40,20:05,Лабораторные занятия,Разработка и эксплуатация автоматизированных систем в защищенном исполнении,Ярмонов М. И.,403/5,1,иб-211,
Пятница,18:40:00 - 20:05:00 ,18:40,20:05,Лабораторные занятия,Компьютерные преступления в информационных системах и сетях,Покудин Д. С.,201/5,2,иб-211,
Суббота,8:00:00 - 9:35:00 ,8:00,9:35,Лекционные занятия,Компьютерные преступления в информационных системах и сетях,Сердечный А. Л.,220/1,1,иб-211,
Суббота,9:45:00 - 11:20:00 ,9:45,11:20,Лекционные занятия,Обеспечение безопасности автоматизированных систем на основе методов искусственного интеллекта,Сердечный А. Л.,220/1,1,иб-211,
Суббота,11:30:00 - 13:05:00 ,11:30,13:05,Лекционные занятия,Разработка и эксплуатация автоматизированных систем в защищенном исполнении,Чопоров О. Н.,101/1,1,иб-211,
