day,time_slot,start_time,end_time,type,subject,teacher,auditorium,subgroup,group_name,weeks
Вторник,8:00:00 - 9:35:00,8:00,9:35,Лабораторные занятия,Организация ЭВМ и вычислительных систем,Щеголеватых А. С.,402/5,2,иб-241,
Вторник,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Организация ЭВМ и вычислительных систем,Щеголеватых А. С.,402/5,2,иб-241,
Вторник,,10:15,11:50,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,,1,иб-241,
Вторник,,10:15,11:50,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,402/5,2,иб-241,
Вторник,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Дискретная математика,Шелковой А. Н.,327/1,1,иб-241,
Вторник,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Теория графов и ее приложения,Шелковой А. Н.,327/1,1,иб-241,
Вторник,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Организация ЭВМ и вычислительных систем,Щеголеватых А. С.,402/5,1,иб-241,
Вторник,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Организация ЭВМ и вычислительных систем,Щеголеватых А. С.,402/5,1,иб-241,
Среда,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Организация ЭВМ и вычислительных систем,Щеголеватых А. С.,407/5,1,иб-241,
Среда,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Электроника и схемотехника,Щеголеватых А. С.,407/5,1,иб-241,
Среда,15:15:00 - 16:50:00,15:15,16:50,Практические занятия,Теория графов и ее приложения,Шелковой А. Н.,220/1,1,иб-241,
Среда,17:00:00 - 18:35:00,17:00,18:35,Практические занятия,Дискретная математика,Шелковой А. Н.,220/1,1,иб-241,
Четверг,15:15:00 - 16:50:00,16:05,17:40,Лекционные занятия,Правоведение,Кузьмин Е. А.,2305,1,иб-241,
Четверг,17:00:00 - 18:35:00,17:50,19:25,Лекционные занятия,Великая Отечественная война: без срока давности,Дробышев А. В.,3113,1,иб-241,
Пятница,11:30:00 - 13:05:00,12:00,13:35,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,,1,иб-241,
Пятница,11:30:00 - 13:05:00,12:00,13:35,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,,2,иб-241,
Пятница,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Языки программирования,Москалева Е. А.,404/5,1,иб-241,
Пятница,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Электроника и схемотехника,Щеголеватых А. С.,402/5,2,иб-241,
Пятница,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Языки программирования,Москалева Е. А.,404/5,1,иб-241,
Пятница,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Электроника и схемотехника,Щеголеватых А. С.,402/5,2,иб-241,
Суббота,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Языки программирования,Москалева Е. А.,410/5,1,иб-241,
Суббота,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Физические основы защиты информации,Пахомова А. С.,410/5,1,иб-241,
Суббота,15:15:00 - 16:50:00,15:15,16:50,Практические занятия,Физические основы защиты информации,Пахомова А. С.,410/5,1,иб-241,
