day,time_slot,start_time,end_time,type,subject,teacher,auditorium,subgroup,group_name,weeks
Понедельник,8:00:00 - 9:35:00,8:00,9:35,Лабораторные занятия,Методы программирования,Мордовин А. И.,,1,кб-232,
Понедельник,8:00:00 - 9:35:00,8:00,9:35,Лабораторные занятия,Операционные системы,Белоножкин В. И.,201/5,2,кб-232,
Понедельник,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Методы программирования,Мордовин А. И.,,1,кб-232,
Понедельник,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Операционные системы,Белоножкин В. И.,201/5,2,кб-232,
Понедельник,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Операционные системы,Белоножкин В. И.,407/5,1,кб-232,
Понедельник,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Методы программирования,Лопатин Р. С.,407/5,1,кб-232,
Понедельник,15:15:00 - 16:50:00,16:05,17:40,Практические занятия,Основы военной подготовки,. .,1303,1,кб-232,
Среда,9:45:00 - 11:20:00,10:15,11:50,Практические занятия,Элективные дисциплины по физической культуре и спорту,Кутузова И. А.,,1,кб-232,
Среда,9:45:00 - 11:20:00,10:15,11:50,Практические занятия,Элективные дисциплины по физической культуре и спорту,Кутузова И. А.,,2,кб-232,
Среда,13:30:00 - 15:05:00,13:30,15:05,Практические занятия,Проектная деятельность,Остапенко А. Г.,406/5,1,кб-232,
Среда,15:15:00 - 16:50:00,15:15,16:50,Практические занятия,Физические основы защиты информации,Пахомова А. С.,406/5,1,кб-232,
Среда,17:00:00 - 18:35:00,17:00,18:35,Лекционные занятия,Системы управления базами данных,Паринова Л. В.,407/5,1,кб-232,
Среда,18:40:00 - 20:05:00,18:40,20:05,Практические занятия,Организационное и правовое обеспечение информационной безопасности,Паринова Л. В.,406/5,1,кб-232,
Четверг,8:00:00 - 9:35:00,8:00,9:35,Лекционные занятия,Сети и системы передачи информации,Куликов С. С.,407/5,1,кб-232,
Четверг,9:45:00 - 11:20:00,9:45,11:20,Лекционные занятия,"Теория управления информационной безопасностью компьютерных систем (связь, информационные и коммуникационные технологии)",Дешина А. Е.,407/5,1,кб-232,
Четверг,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Физические основы защиты информации,Пахомова А. С.,407/5,1,кб-232,
Пятница,11:30:00 - 13:05:00,12:00,13:35,Практические занятия,Элективные дисциплины по физической культуре и спорту,Кутузова И. А.,,1,кб-232,
Пятница,11:30:00 - 13:05:00,12:00,13:35,Практические занятия,Элективные дисциплины по физической культуре и спорту,Кутузова И. А.,,2,кб-232,
Пятница,15:15:00 - 16:50:00,15:15,16:50,Лекционные занятия,Теория вероятностей и математическая статистика,Семилетов И. М.,407/5,1,кб-232,
Пятница,17:00:00 - 18:35:00,17:50,19:25,Лекционные занятия,Основы военной подготовки,. .,7211,1,кб-232,
Пятница,,19:35,21:10,Лекционные занятия,Основы военной подготовки,. .,7211,1,кб-232,
Суббота,11:30:00 - 13:05:00,11:30,13:05,Лабораторные занятия,Сети и системы передачи информации,Куликов С. С.,403/5,2,кб-232,
Суббота,13:30:00 - 15:05:00,13:30,15:05,Лабораторные занятия,Математические основы управления рисками,Ярмонов М. И.,402/5,1,кб-232,
Суббота,13:30:00 - 15:05:00,13:30,15:05,Лабораторные занятия,Сети и системы передачи информации,Куликов С. С.,403/5,2,кб-232,
Суббота,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Математические основы управления рисками,Ярмонов М. И.,402/5,1,кб-232,
