day,time_slot,start_time,end_time,type,subject,teacher,auditorium,subgroup,group_name,weeks
Понедельник,9:45:00 - 11:20:00,9:45,11:20,Лекционные занятия,Физика,Тураева Т. Л.,327/1,1,кб-252,
Понедельник,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Математический анализ,Кострюков С. А.,218/1,1,кб-252,
Понедельник,13:30:00 - 15:05:00,14:00,15:35,Практические занятия,Элективные дисциплины по физической культуре и спорту,Кутузова И. А.,,1,кб-252,
Понедельник,13:30:00 - 15:05:00,14:00,15:35,Практические занятия,Элективные дисциплины по физической культуре и спорту,Кутузова И. А.,,2,кб-252,
Понедельник,13:30:00 - 15:05:00,14:00,15:35,Практические занятия,Элективные дисциплины по физической культуре и спорту,Кутузова И. А.,,3,кб-252,
Вторник,8:00:00 - 9:35:00,8:00,9:35,Лабораторные занятия,Информатика,Лопатин Р. С.,201/5,1,кб-252,
Вторник,8:00:00 - 9:35:00,8:00,9:35,Практические занятия,Иностранный язык,Макарова А. А.,111/2,3,кб-252,
Вторник,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Информатика,Лопатин Р. С.,201/5,1,кб-252,
Вторник,9:45:00 - 11:20:00,9:45,11:20,Практические занятия,Иностранный язык,Нехаева О. Г.,408/5,2,кб-252,
Вторник,9:45:00 - 11:20:00,9:45,11:20,Практические занятия,Иностранный язык,Макарова А. А.,111/2,3,кб-252,
Вторник,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Языки программирования,Москалева Е. А.,407/5,1,кб-252,
Вторник,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Введение в специальность (спецглавы),Остапенко А. Г.,308/1,1,кб-252,
Вторник,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Языки программирования,Москалева Е. А.,404/5,2,кб-252,
Вторник,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Языки программирования,Москалева Е. А.,404/5,2,кб-252,
Четверг,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Физика,Ремизова О. И.,,1,кб-252,
Четверг,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Физика,Тураева Т. Л.,326/1,2,кб-252,
Четверг,11:30:00 - 13:05:00,11:30,13:05,Практические занятия,Психология социального взаимодействия,Слепцова А. О.,218/1,1,кб-252,
Четверг,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Языки программирования,Москалева Е. А.,407/5,1,кб-252,
Четверг,15:15:00 - 16:50:00,15:15,16:50,Практические занятия,Иностранный язык,Нехаева О. Г.,408/5,2,кб-252,
Пятница,8:00:00 - 9:35:00,8:00,9:35,Практические занятия,Иностранный язык,Нехаева О. Г.,116/2,1,кб-252,
Пятница,,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Кутузова И. А.,116/2,1,кб-252,
Пятница,,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Кутузова И. А.,116/2,2,кб-252,
Пятница,,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Кутузова И. А.,116/2,3,кб-252,
Пятница,9:45:00 - 11:20:00,9:45,11:20,Практические занятия,Иностранный язык,Нехаева О. Г.,116/2,1,кб-252,
Пятница,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Психология социального взаимодействия,Слепцова А. О.,308/1,1,кб-252,
Пятница,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Алгебра,Дорохова О. А.,308/1,1,кб-252,
Суббота,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,История  России,Дорош А. А.,308/1,1,кб-252,
Суббота,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Основы информационной безопасности,Чопоров О. Н.,308/1,1,кб-252,
Суббота,15:15:00 - 16:50:00,15:15,16:50,Практические занятия,Математический анализ,Кострюков С. А.,218/1,1,кб-252,
Суббота,17:00:00 - 18:35:00,17:00,18:35,Практические занятия,Основы информационной безопасности,Чопоров О. Н.,406/5,1,кб-252,
