day,time_slot,start_time,end_time,type,subject,teacher,auditorium,subgroup,group_name,weeks
Понедельник,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Защита информации от утечки по техническим каналам,(Дешина А. Е.,403/5,1,бт-221,"25,29,33,37"
Понедельник,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Защита информации от утечки по техническим каналам,(Дешина А. Е.,403/5,2,бт-221,"27,31,35,39"
Понедельник,11:30:00 - 13:05:00,11:30,13:05,Лабораторные занятия,Защита информации от утечки по техническим каналам,(Дешина А. Е.,403/5,1,бт-221,"25,29,33,37"
Понедельник,11:30:00 - 13:05:00,11:30,13:05,Лабораторные занятия,Защита информации от утечки по техническим каналам,(Дешина А. Е.,403/5,2,бт-221,"27,31,35,39"
Понедельник,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Безопасность распределенных телекоммуникационных систем,(Петрова Е. С.,404/5,1,бт-221,"27,31,35,39"
Понедельник,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Безопасность распределенных телекоммуникационных систем,(Петрова Е. С.,404/5,2,бт-221,"25,29,33,37"
Понедельник,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Безопасность распределенных телекоммуникационных систем,(Петрова Е. С.,404/5,1,бт-221,"27,31,35,39"
Понедельник,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Безопасность распределенных телекоммуникационных систем,(Петрова Е. С.,404/5,2,бт-221,"25,29,33,37"
Вторник,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Защита информации от утечки по техническим каналам,Дешина А. Е.,408/5,1,бт-221,
Вторник,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Безопасность распределенных телекоммуникационных систем,Дешина А. Е.,408/5,1,бт-221,
Четверг,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Сети и системы передачи информации,Куликов С. С.,403/5,2,бт-221,
Четверг,11:30:00 - 13:05:00,11:30,13:05,Лабораторные занятия,Сети и системы передачи информации,Куликов С. С.,403/5,2,бт-221,
Четверг,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Сети и системы передачи информации,Куликов С. С.,406/5,1,бт-221,
Четверг,15:15:00 - 16:50:00,15:15,16:50,Лекционные занятия,Программно-аппаратные средства защиты информации,Белоножкин В. И.,406/5,1,бт-221,
Четверг,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Аппаратные средства телекоммуникационных систем,Морозов В. О.,403/5,1,бт-221,
Четверг,18:40:00 - 20:05:00,18:40,20:05,Лабораторные занятия,Аппаратные средства телекоммуникационных систем,Морозов В. О.,403/5,1,бт-221,
Пятница,8:00:00 - 9:35:00,8:00,9:35,Лабораторные занятия,Сети и системы передачи информации,Куликов С. С.,404/5,1,бт-221,
Пятница,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Сети и системы передачи информации,Куликов С. С.,404/5,1,бт-221,
Пятница,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Сети и системы передачи информации,Куликов С. С.,408/5,1,бт-221,
Пятница,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Основы управленческой деятельности,Бейнар И. А.,104а/1,1,бт-221,
Суббота,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Компьютерные преступления в информационно-телекоммуникационных системах и сетях,Сердечный А. Л.,313/1,1,бт-221,
Суббота,13:30:00 - 15:05:00,13:30,15:05,Практические занятия,Программно-аппаратные средства защиты информации,Чапурин Е. Ю.,313/1,1,бт-221,
Суббота,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Программно-аппаратные средства защиты информации,Чапурин Е. Ю.,407/5,1,бт-221,
Суббота,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Компьютерные преступления в информационно-телекоммуникационных системах и сетях,Покудин Д. С.,408/5,2,бт-221,
Суббота,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Программно-аппаратные средства защиты информации,Чапурин Е. Ю.,407/5,1,бт-221,
Суббота,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Компьютерные преступления в информационно-телекоммуникационных системах и сетях,Покудин Д. С.,408/5,2,бт-221,
Суббота,18:40:00 - 20:05:00,18:40,20:05,Лекционные занятия,Аппаратные средства телекоммуникационных систем,Исаев О. В.,406/5,1,бт-221,
