day,time_slot,start_time,end_time,type,subject,teacher,auditorium,subgroup,group_name,weeks
Понедельник,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Компьютерные преступления в компьютерных системах и сетях,Сердечный А. Л.,402/5,1,кб-211,
Понедельник,18:40:00 - 20:05:00,18:40,20:05,Лабораторные занятия,Компьютерные преступления в компьютерных системах и сетях,Сердечный А. Л.,402/5,1,кб-211,
Вторник,13:30:00 - 15:05:00,13:30,15:05,Практические занятия,Анализ уязвимостей компьютерных систем и сетей,Петрова Е. С.,406/5,1,кб-211,
Вторник,15:15:00 - 16:50:00,15:15,16:50,Лекционные занятия,Безопасность распределенных компьютерных систем,Дешина А. Е.,410/5,1,кб-211,
Вторник,17:00:00 - 18:35:00,17:00,18:35,Лекционные занятия,Анализ уязвимостей компьютерных систем и сетей,Дешина А. Е.,410/5,1,кб-211,
Четверг,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Системы противодействия компьютерным атакам,Белоножкин В. И.,408/5,1,кб-211,
Четверг,13:30:00 - 15:05:00,13:30,15:05,Практические занятия,Системы противодействия компьютерным атакам,Белоножкин В. И.,408/5,1,кб-211,
Пятница,17:00:00 - 18:35:00,17:00,18:35,Лекционные занятия,Компьютерные преступления в компьютерных системах и сетях,Сердечный А. Л.,311/1,1,кб-211,
Пятница,18:40:00 - 20:05:00,18:40,20:05,Практические занятия,Криптографические протоколы,Мокроусов А. Н.,311/1,1,кб-211,
Суббота,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Методы искусственного интеллекта и обеспечение безопасности компьютерных систем и сетей,Паринова Л. В.,220/1,1,кб-211,
Суббота,15:15:00 - 16:50:00,15:15,16:50,Практические занятия,Методы искусственного интеллекта и обеспечение безопасности компьютерных систем и сетей,Паринова Л. В.,220/1,1,кб-211,
Суббота,17:00:00 - 18:35:00,17:00,18:35,Лекционные занятия,Криптографические протоколы,Поздышева О. В.,220/1,1,кб-211,
