day,time_slot,start_time,end_time,type,subject,teacher,auditorium,subgroup,group_name,weeks
Вторник,8:00:00 - 9:35:00,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Кутузова И. А.,,1,бт-241,
Вторник,8:00:00 - 9:35:00,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Кутузова И. А.,,2,бт-241,
Вторник,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Теория электросвязи,Толстых И. О.,,1,бт-241,
Вторник,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Теория электросвязи,Толстых И. О.,,2,бт-241,
Вторник,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Теория вероятностей и математическая статистика,Кострюков С. А.,410/5,1,бт-241,
Вторник,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Методы программирования,(Лопатин Р. С.,201/5,1,бт-241,"25,29,33,37"
Вторник,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Методы программирования,(Лопатин Р. С.,201/5,2,бт-241,"27,31,35,39"
Вторник,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Методы программирования,(Лопатин Р. С.,201/5,1,бт-241,"25,29,33,37"
Вторник,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Методы программирования,(Лопатин Р. С.,201/5,2,бт-241,"27,31,35,39"
Среда,8:00:00 - 9:35:00,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Кутузова И. А.,,1,бт-241,
Среда,8:00:00 - 9:35:00,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Кутузова И. А.,,2,бт-241,
Среда,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Физические основы защиты информации,Пахомова А. С.,403/5,1,бт-241,
Среда,13:30:00 - 15:05:00,13:30,15:05,Практические занятия,Физические основы защиты информации,Пахомова А. С.,403/5,1,бт-241,
Четверг,13:30:00 - 15:05:00,13:30,15:05,Лабораторные занятия,Теория электросвязи,Толстых И. О.,,2,бт-241,
Четверг,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Теория электросвязи,Толстых И. О.,,2,бт-241,
Четверг,17:00:00 - 18:35:00,17:50,19:25,Лекционные занятия,Великая Отечественная война: без срока давности,Дробышев А. В.,3113,1,бт-241,
Четверг,18:40:00 - 20:05:00,19:35,21:10,Лекционные занятия,Правоведение,Смородина Е. П.,1423,1,бт-241,
Пятница,13:30:00 - 15:05:00,13:30,15:05,Практические занятия,Теория вероятностей и математическая статистика,Кострюков С. А.,327/1,1,бт-241,
Пятница,15:15:00 - 16:50:00,15:15,16:50,Лекционные занятия,Методы программирования,Лопатин Р. С.,410/5,1,бт-241,
Суббота,8:00:00 - 9:35:00,8:00,9:35,Лабораторные занятия,Электроника и схемотехника,Исаев О. В.,403/5,1,бт-241,
Суббота,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Электроника и схемотехника,Исаев О. В.,403/5,1,бт-241,
Суббота,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Электроника и схемотехника,Исаев О. В.,406/5,1,бт-241,
Суббота,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Теория вероятностей и математическая статистика,Кострюков С. А.,406/5,1,бт-241,
Суббота,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Электроника и схемотехника,Исаев О. В.,403/5,2,бт-241,
Суббота,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Электроника и схемотехника,Исаев О. В.,403/5,2,бт-241,
