day,time_slot,start_time,end_time,type,subject,teacher,auditorium,subgroup,group_name,weeks
Вторник,8:00:00 - 9:35:00,8:00,9:35,Лекционные занятия,Математическая логика и теория алгоритмов,Шелковой А. Н.,407/5,1,кб-242,
Вторник,9:45:00 - 11:20:00,9:45,11:20,Лекционные занятия,Дискретная математика,Шелковой А. Н.,407/5,1,кб-242,
Вторник,11:30:00 - 13:05:00,11:30,13:05,Лабораторные занятия,Аппаратные средства вычислительной техники,Пахомова А. С.,404/5,2,кб-242,
Вторник,,12:00,13:35,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,407/5,1,кб-242,
Вторник,,12:00,13:35,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,404/5,2,кб-242,
Вторник,13:30:00 - 15:05:00,13:30,15:05,Лабораторные занятия,Аппаратные средства вычислительной техники,Пахомова А. С.,404/5,2,кб-242,
Среда,8:00:00 - 9:35:00,8:00,9:35,Лабораторные занятия,Электроника и схемотехника,(Щеголеватых А. С.,402/5,1,кб-242,"25,29,33,37"
Среда,8:00:00 - 9:35:00,8:00,9:35,Лабораторные занятия,Электроника и схемотехника,(Щеголеватых А. С.,402/5,2,кб-242,"27,31,35,39"
Среда,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Электроника и схемотехника,(Щеголеватых А. С.,402/5,1,кб-242,"25,29,33,37"
Среда,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Электроника и схемотехника,(Щеголеватых А. С.,402/5,2,кб-242,"27,31,35,39"
Среда,11:30:00 - 13:05:00,11:30,13:05,Практические занятия,Теория вероятностей и математическая статистика,Семилетов И. М.,410/5,1,кб-242,
Среда,13:30:00 - 15:05:00,13:30,15:05,Практические занятия,Дискретная математика,Шелковой А. Н.,220/1,1,кб-242,
Четверг,17:00:00 - 18:35:00,17:50,19:25,Лекционные занятия,Великая Отечественная война: без срока давности,Дробышев А. В.,3113,1,кб-242,
Четверг,18:40:00 - 20:05:00,19:35,21:10,Лекционные занятия,Правоведение,Кузьмин Е. А.,2220,1,кб-242,
Пятница,8:00:00 - 9:35:00,8:00,9:35,Лекционные занятия,Аппаратные средства вычислительной техники,Пахомова А. С.,407/5,1,кб-242,
Пятница,9:45:00 - 11:20:00,9:45,11:20,Лекционные занятия,Теория вероятностей и математическая статистика,Семилетов И. М.,407/5,1,кб-242,
Пятница,11:30:00 - 13:05:00,12:00,13:35,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,,1,кб-242,
Пятница,11:30:00 - 13:05:00,12:00,13:35,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,,2,кб-242,
