day,time_slot,start_time,end_time,type,subject,teacher,auditorium,subgroup,group_name,weeks
Понедельник,8:00:00 - 9:35:00,8:00,9:35,Лабораторные занятия,Компьютерные сети,Куликов С. С.,404/5,2,кб-221,
Понедельник,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,"Разработка прикладного программного обеспечения для  компьютерных систем (связь, информационные и коммуникационные технологии)",Москалева Е. А.,402/5,1,кб-221,
Понедельник,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Компьютерные сети,Куликов С. С.,404/5,2,кб-221,
Понедельник,11:30:00 - 13:05:00,11:30,13:05,Лабораторные занятия,"Разработка прикладного программного обеспечения для  компьютерных систем (связь, информационные и коммуникационные технологии)",Москалева Е. А.,402/5,1,кб-221,
Понедельник,11:30:00 - 13:05:00,11:30,13:05,Лабораторные занятия,Защита информации от утечки по техническим каналам,Петрова Е. С.,404/5,2,кб-221,
Понедельник,13:30:00 - 15:05:00,13:30,15:05,Лабораторные занятия,Мониторинг функционирования распределенных компьютерных систем,Шварцкопф Е. А.,402/5,1,кб-221,
Понедельник,13:30:00 - 15:05:00,13:30,15:05,Лабораторные занятия,Защита информации от утечки по техническим каналам,Петрова Е. С.,404/5,2,кб-221,
Понедельник,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Мониторинг функционирования распределенных компьютерных систем,Шварцкопф Е. А.,402/5,1,кб-221,
Вторник,8:00:00 - 9:35:00,8:00,9:35,Лабораторные занятия,Системы искусственного интеллекта,(Петрова Е. С.,403/5,1,кб-221,"25,29,33,37"
Вторник,8:00:00 - 9:35:00,8:00,9:35,Лабораторные занятия,Системы искусственного интеллекта,(Петрова Е. С.,403/5,2,кб-221,"27,31,35,39"
Вторник,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Системы искусственного интеллекта,(Петрова Е. С.,403/5,1,кб-221,"25,29,33,37"
Вторник,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Системы искусственного интеллекта,(Петрова Е. С.,403/5,2,кб-221,"27,31,35,39"
Вторник,11:30:00 - 13:05:00,11:30,13:05,Лабораторные занятия,Модели безопасности компьютерных систем,Лопатин Р. С.,201/5,1,кб-221,
Вторник,11:30:00 - 13:05:00,11:30,13:05,Лабораторные занятия,Мониторинг функционирования распределенных компьютерных систем,Шварцкопф Е. А.,403/5,2,кб-221,
Вторник,13:30:00 - 15:05:00,13:30,15:05,Лабораторные занятия,Модели безопасности компьютерных систем,Лопатин Р. С.,201/5,1,кб-221,
Вторник,13:30:00 - 15:05:00,13:30,15:05,Лабораторные занятия,Мониторинг функционирования распределенных компьютерных систем,Шварцкопф Е. А.,403/5,2,кб-221,
Четверг,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Защита информации от утечки по техническим каналам,Дешина А. Е.,406/5,1,кб-221,
Четверг,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Безопасность компьютерных систем и сетей интернета вещей,Ермаков С. А.,,1,кб-221,
Четверг,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Безопасность компьютерных систем и сетей интернета вещей,Ермаков С. А.,,2,кб-221,
Четверг,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Безопасность компьютерных систем и сетей интернета вещей,(Ермаков С. А.,,1,кб-221,"25,29,33,37"
Четверг,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Безопасность компьютерных систем и сетей интернета вещей,(Ермаков С. А.,,2,кб-221,"27,31,35,39"
Четверг,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Безопасность компьютерных систем и сетей интернета вещей,(Ермаков С. А.,,1,кб-221,"25,29,33,37"
Четверг,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Безопасность компьютерных систем и сетей интернета вещей,(Ермаков С. А.,,2,кб-221,"27,31,35,39"
Пятница,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,"Разработка прикладного программного обеспечения для  компьютерных систем (связь, информационные и коммуникационные технологии)",Москалева Е. А.,410/5,1,кб-221,
Пятница,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Модели безопасности компьютерных систем,Лопатин Р. С.,410/5,1,кб-221,
Пятница,15:15:00 - 16:50:00,15:15,16:50,Практические занятия,Системы искусственного интеллекта,Петрова Е. С.,206/5,1,кб-221,
Пятница,17:00:00 - 18:35:00,17:00,18:35,Практические занятия,Методы и средства криптографической защиты информации,Мокроусов А. Н.,406/5,1,кб-221,
Суббота,8:00:00 - 9:35:00,8:00,9:35,Лекционные занятия,Методы и средства криптографической защиты информации,Поздышева О. В.,410/5,1,кб-221,
Суббота,9:45:00 - 11:20:00,9:45,11:20,Лекционные занятия,Мониторинг функционирования распределенных компьютерных систем,Паринова Л. В.,410/5,1,кб-221,
