day,time_slot,start_time,end_time,type,subject,teacher,auditorium,subgroup,group_name,weeks
Понедельник,8:00:00 - 9:35:00,8:00,9:35,Лекционные занятия,Основы управленческой деятельности,Бейнар И. А.,407/5,1,иб-221,
Понедельник,9:45:00 - 11:20:00,9:45,11:20,Практические занятия,Основы управленческой деятельности,Бейнар И. А.,407/5,1,иб-221,
Понедельник,11:30:00 - 13:05:00,11:30,13:05,Лабораторные занятия,Сети и системы передачи информации,Куликов С. С.,201/5,2,иб-221,
Понедельник,13:30:00 - 15:05:00,13:30,15:05,Лабораторные занятия,Сети и системы передачи информации,Куликов С. С.,201/5,2,иб-221,
Вторник,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Безопасность вычислительных сетей,Рахманин Д. Н.,,1,иб-221,
Вторник,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Безопасность вычислительных сетей,Рахманин Д. Н.,,2,иб-221,
Вторник,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Безопасность информационных систем и сетей интернета вещей,Ермаков С. А.,,1,иб-221,
Вторник,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Безопасность информационных систем и сетей интернета вещей,Ермаков С. А.,,2,иб-221,
Вторник,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Системы искусственного интеллекта,(Петрова Е. С.,407/5,1,иб-221,"25,29,33,37"
Вторник,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Системы искусственного интеллекта,(Петрова Е. С.,407/5,2,иб-221,"27,31,35,39"
Вторник,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Системы искусственного интеллекта,(Петрова Е. С.,407/5,1,иб-221,"25,29,33,37"
Вторник,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Системы искусственного интеллекта,(Петрова Е. С.,407/5,2,иб-221,"27,31,35,39"
Четверг,15:15:00 - 16:50:00,15:15,16:50,Лекционные занятия,Сети и системы передачи информации,Куликов С. С.,407/5,1,иб-221,
Четверг,17:00:00 - 18:35:00,17:00,18:35,Лекционные занятия,Программно-аппаратные средства защиты информации,Белоножкин В. И.,407/5,1,иб-221,
Четверг,18:40:00 - 20:05:00,18:40,20:05,Лекционные занятия,Методы и средства криптографической защиты информации,Поздышева О. В.,407/5,1,иб-221,
Пятница,9:45:00 - 11:20:00,9:45,11:20,Лекционные занятия,Системы искусственного интеллекта,Дешина А. Е.,406/5,1,иб-221,
Пятница,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Безопасность распределенных информационных систем,Дешина А. Е.,406/5,1,иб-221,
Пятница,13:30:00 - 15:05:00,13:30,15:05,Практические занятия,Методы и средства криптографической защиты информации,Мокроусов А. Н.,404/5,1,иб-221,
Суббота,8:00:00 - 9:35:00,8:00,9:35,Лабораторные занятия,Сети и системы передачи информации,Куликов С. С.,404/5,1,иб-221,
Суббота,8:00:00 - 9:35:00,8:00,9:35,Лабораторные занятия,Программно-аппаратные средства защиты информации,Чапурин Е. Ю.,406/5,2,иб-221,
Суббота,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Сети и системы передачи информации,Куликов С. С.,404/5,1,иб-221,
Суббота,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Программно-аппаратные средства защиты информации,Чапурин Е. Ю.,406/5,2,иб-221,
Суббота,11:30:00 - 13:05:00,11:30,13:05,Практические занятия,Программно-аппаратные средства защиты информации,Чапурин Е. Ю.,404/5,1,иб-221,
