day,time_slot,start_time,end_time,type,subject,teacher,auditorium,subgroup,group_name,weeks
Понедельник,8:00:00 - 9:35:00,8:00,9:35,Практические занятия,Психология социального взаимодействия,Слепцова А. О.,218/1,1,кб-251,
Понедельник,9:45:00 - 11:20:00,9:45,11:20,Лекционные занятия,Физика,Тураева Т. Л.,327/1,1,кб-251,
Понедельник,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Математический анализ,Кострюков С. А.,218/1,1,кб-251,
Понедельник,13:30:00 - 15:05:00,13:30,15:05,Практические занятия,Математический анализ,Кострюков С. А.,406/5,1,кб-251,
Вторник,8:00:00 - 9:35:00,8:00,9:35,Лабораторные занятия,Языки программирования,Москалева Е. А.,404/5,1,кб-251,
Вторник,8:00:00 - 9:35:00,8:00,9:35,Практические занятия,Иностранный язык,Падурец А. А.,105/2,2,кб-251,
Вторник,8:00:00 - 9:35:00,8:00,9:35,Практические занятия,Иностранный язык,Макарова А. А.,111/2,3,кб-251,
Вторник,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Языки программирования,Москалева Е. А.,404/5,1,кб-251,
Вторник,9:45:00 - 11:20:00,9:45,11:20,Практические занятия,Иностранный язык,Падурец А. А.,105/2,2,кб-251,
Вторник,9:45:00 - 11:20:00,9:45,11:20,Практические занятия,Иностранный язык,Макарова А. А.,111/2,3,кб-251,
Вторник,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Языки программирования,Москалева Е. А.,407/5,1,кб-251,
Вторник,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Введение в специальность (спецглавы),Остапенко А. Г.,308/1,1,кб-251,
Четверг,8:00:00 - 9:35:00,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,,1,кб-251,
Четверг,8:00:00 - 9:35:00,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,,2,кб-251,
Четверг,8:00:00 - 9:35:00,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,,3,кб-251,
Четверг,11:30:00 - 13:05:00,11:30,13:05,Лабораторные занятия,Физика,Ремизова О. И.,,1,кб-251,
Четверг,11:30:00 - 13:05:00,11:30,13:05,Лабораторные занятия,Физика,Тураева Т. Л.,326/1,2,кб-251,
Четверг,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Языки программирования,Москалева Е. А.,407/5,1,кб-251,
Четверг,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Информатика,Лопатин Р. С.,201/5,1,кб-251,
Четверг,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Языки программирования,Москалева Е. А.,404/5,2,кб-251,
Четверг,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Информатика,Лопатин Р. С.,201/5,1,кб-251,
Четверг,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Языки программирования,Москалева Е. А.,404/5,2,кб-251,
Пятница,8:00:00 - 9:35:00,8:00,9:35,Практические занятия,Иностранный язык,Падурец А. А.,313/1,1,кб-251,
Пятница,,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,313/1,1,кб-251,
Пятница,,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,313/1,2,кб-251,
Пятница,,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,313/1,3,кб-251,
Пятница,9:45:00 - 11:20:00,9:45,11:20,Практические занятия,Иностранный язык,Падурец А. А.,313/1,1,кб-251,
Пятница,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Психология социального взаимодействия,Слепцова А. О.,308/1,1,кб-251,
Пятница,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Алгебра,Дорохова О. А.,308/1,1,кб-251,
Суббота,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,История  России,Дорош А. А.,308/1,1,кб-251,
Суббота,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Основы информационной безопасности,Чопоров О. Н.,308/1,1,кб-251,
