day,time_slot,start_time,end_time,type,subject,teacher,auditorium,subgroup,group_name,weeks
Понедельник,9:45:00 - 11:20:00,9:45,11:20,Практические занятия,Организационное и правовое обеспечение информационной безопасности,Шварцкопф Е. А.,410/5,1,бт-231,
Понедельник,11:30:00 - 13:05:00,11:30,13:05,Практические занятия,Проектная деятельность,Остапенко А. Г.,406/5,1,бт-231,
Понедельник,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Организационное и правовое обеспечение информационной безопасности,Паринова Л. В.,403/5,1,бт-231,
Среда,8:00:00 - 9:35:00,8:00,9:35,Практические занятия,Элективные дисциплины по физической культуре и спорту,Туманцев К. В.Борлюк И. А.,,1,бт-231,
Среда,8:00:00 - 9:35:00,8:00,9:35,Практические занятия,Элективные дисциплины по физической культуре и спорту,Туманцев К. В.Борлюк И. А.,,2,бт-231,
Среда,9:45:00 - 11:20:00,9:45,11:20,Лекционные занятия,Теория электросвязи,Гречишкин А. В.,,1,бт-231,
Среда,9:45:00 - 11:20:00,9:45,11:20,Лекционные занятия,Теория электросвязи,Гречишкин А. В.,,2,бт-231,
Четверг,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Математические методы теории сигналов и систем,Батаронов И. Л.,410/5,1,бт-231,
Четверг,15:15:00 - 16:50:00,15:15,16:50,Практические занятия,Математические методы теории сигналов и систем,Батаронов И. Л.,410/5,1,бт-231,
Четверг,17:00:00 - 18:35:00,17:50,19:25,Лекционные занятия,Основы военной подготовки,Сафронов А. С.,7103,1,бт-231,
Четверг,18:40:00 - 20:05:00,19:35,21:10,Практические занятия,Основы военной подготовки,Сафронов А. С.,7103,1,бт-231,
Пятница,8:00:00 - 9:35:00,8:00,9:35,Лабораторные занятия,Математические основы управления рисками,Петрова Е. С.,402/5,1,бт-231,
Пятница,8:00:00 - 9:35:00,8:00,9:35,Лабораторные занятия,Теория электросвязи,Гречишкин А. В.,402/5,2,бт-231,
Пятница,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Математические основы управления рисками,Петрова Е. С.,402/5,1,бт-231,
Пятница,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Теория электросвязи,Гречишкин А. В.,402/5,2,бт-231,
Пятница,11:30:00 - 13:05:00,11:30,13:05,Лабораторные занятия,Теория электросвязи,Гречишкин А. В.,,1,бт-231,
Пятница,11:30:00 - 13:05:00,11:30,13:05,Лабораторные занятия,Математические основы управления рисками,Петрова Е. С.,402/5,2,бт-231,
Пятница,13:30:00 - 15:05:00,13:30,15:05,Лабораторные занятия,Теория электросвязи,Гречишкин А. В.,,1,бт-231,
Пятница,13:30:00 - 15:05:00,13:30,15:05,Лабораторные занятия,Математические основы управления рисками,Петрова Е. С.,402/5,2,бт-231,
Суббота,8:00:00 - 9:35:00,8:00,9:35,Лекционные занятия,Математические основы управления рисками,Четкин О. В.,301/1,1,бт-231,
Суббота,9:45:00 - 11:20:00,9:45,11:20,Лекционные занятия,Теория информации и кодирования,Поздышева О. В.,407/5,1,бт-231,
Суббота,11:30:00 - 13:05:00,11:30,13:05,Практические занятия,Теория информации и кодирования,Поздышева О. В.,407/5,1,бт-231,
Суббота,13:30:00 - 15:05:00,13:30,15:05,Практические занятия,Теория информации и кодирования,Поздышева О. В.,407/5,1,бт-231,
