day,time_slot,start_time,end_time,type,subject,teacher,auditorium,subgroup,group_name,weeks
Понедельник,15:15:00 - 16:50:00 ,15:15,16:50,Лекционные занятия,Методы искусственного интеллекта и обеспечение безопасности телекоммуникационных систем,Паринова Л. В.,408/5,1,бт-211,
Понедельник,17:00:00 - 18:35:00 ,17:00,18:35,Лабораторные занятия,Информационная безопасность телекоммуникационных систем,Исаев О. В.,201/5,1,бт-211,
Понедельник,18:40:00 - 20:05:00 ,18:40,20:05,Лабораторные занятия,Информационная безопасность телекоммуникационных систем,Исаев О. В.,201/5,1,бт-211,
Вторник,15:15:00 - 16:50:00 ,15:15,16:50,Лекционные занятия,Мониторинг защищенности сетевой инфраструктуры телекоммуникационных систем,Паринова Л. В.,406/5,1,бт-211,
Вторник,17:00:00 - 18:35:00 ,17:00,18:35,Лабораторные занятия,Мониторинг защищенности сетевой инфраструктуры телекоммуникационных систем,Паринова Л. В.,403/5,1,бт-211,
Вторник,18:40:00 - 20:05:00 ,18:40,20:05,Лабораторные занятия,Мониторинг защищенности сетевой инфраструктуры телекоммуникационных систем,Паринова Л. В.,403/5,1,бт-211,
Пятница,13:30:00 - 15:05:00 ,13:30,15:05,Лекционные занятия,Измерения в телекоммуникационных системах,Дешина А. Е.,408/5,1,бт-211,
Пятница,15:15:00 - 16:50:00 ,15:15,16:50,Практические занятия,Методы и средства криптографической защиты информации,Мокроусов А. Н.,408/5,1,бт-211,
Пятница,17:00:00 - 18:35:00 ,17:00,18:35,Лекционные занятия,Планирование и управление информационной безопасностью,Бейнар И. А.,408/5,1,бт-211,
Пятница,18:40:00 - 20:05:00 ,18:40,20:05,Практические занятия,Планирование и управление информационной безопасностью,Бейнар И. А.,408/5,1,бт-211,
Суббота,9:45:00 - 11:20:00 ,9:45,11:20,Практические занятия,Проектирование защищенных телекоммуникационных систем,Морозов В. О.,408/5,1,бт-211,
Суббота,11:30:00 - 13:05:00 ,11:30,13:05,Практические занятия,Методы искусственного интеллекта и обеспечение безопасности телекоммуникационных систем,Паринова Л. В.,408/5,1,бт-211,
Суббота,13:30:00 - 15:05:00 ,13:30,15:05,Лекционные занятия,Информационная безопасность телекоммуникационных систем,Исаев О. В.,408/5,1,бт-211,
Суббота,15:15:00 - 16:50:00 ,15:15,16:50,Лекционные занятия,Методы и средства криптографической защиты информации,Поздышева О. В.,206/5,1,бт-211,
